CH1;CH2;PPG
125.12417;115.182465;590.6725
125.11913;115.17546;590.6742
125.12295;115.178085;590.6859
125.12664;115.18052;590.6911
125.13904;115.19527;590.68915
125.145836;115.19983;590.6808
125.153206;115.20221;590.6728
125.14459;115.19579;590.67523
125.1355;115.18583;590.6746
125.12646;115.175125;590.67395
125.11651;115.16737;590.67194
125.11506;115.16945;590.67487
125.111725;115.17284;590.6765
125.112335;115.17851;590.67645
125.11358;115.18066;590.67456
125.11232;115.17386;590.6704
125.11523;115.165085;590.66907
125.10979;115.15751;590.6696
125.11084;115.156166;590.6647
125.11513;115.16177;590.6633
125.11988;115.16909;590.6602
125.1225;115.17817;590.6584
125.12271;115.18392;590.6569
125.11627;115.18149;590.6542
125.109665;115.1736;590.6518
125.10614;115.16518;590.6505
125.10411;115.15796;590.64886
125.106544;115.15942;590.6443
125.10724;115.16337;590.643
125.102875;115.16244;590.6413
125.096275;115.156166;590.63745
125.088425;115.15224;590.6363
125.080795;115.14217;590.6335
125.07698;115.13268;590.6301
125.075554;115.12742;590.62683
125.068855;115.119095;590.6232
125.07007;115.11972;590.6233
125.07069;115.123505;590.625
125.072624;115.12679;590.6176
125.084564;115.14132;590.6146
125.09174;115.147705;590.6114
125.08545;115.13886;590.6082
125.08635;115.13808;590.6053
125.090675;115.14031;590.6038
125.09953;115.14554;590.6066
125.09987;115.15014;590.58954
125.09582;115.14627;590.5834
125.09842;115.15159;590.5791
125.102066;115.15278;590.57605
125.08938;115.13631;590.57324
125.08147;115.12505;590.5692
125.07984;115.11871;590.56573
125.07879;115.11664;590.56415
125.08388;115.12856;590.55927
125.08719;115.13219;590.5555
125.086945;115.13323;590.5536
125.09079;115.13867;590.54767
125.10357;115.14489;590.5451
125.10345;115.141556;590.54364
125.10164;115.13953;590.5434
125.09789;115.13817;590.5415
125.09735;115.14728;590.54535
125.10736;115.16163;590.56104
125.11913;115.17188;590.55585
125.13003;115.18576;590.5264
125.1364;115.195915;590.5164
125.143166;115.20111;590.515
125.143906;115.199234;590.51294
125.15171;115.196815;590.5067
125.14701;115.19687;590.5174
125.14827;115.21022;590.52045
125.149414;115.21683;590.50916
125.15306;115.22958;590.4979
125.15066;115.23127;590.48785
125.142685;115.21703;590.49255
125.13116;115.20624;590.4913
125.13384;115.208176;590.4788
125.13611;115.20848;590.47064
125.13943;115.20765;590.4712
125.13952;115.20476;590.4726
125.14376;115.20174;590.4734
125.133705;115.18776;590.4678
125.124;115.172806;590.4653
125.12128;115.15806;590.45465
125.123;115.152115;590.4559
125.12777;115.15307;590.4481
125.12739;115.1561;590.4396
125.116394;115.14847;590.43616
125.11673;115.15004;590.4323
125.12481;115.159454;590.4291
125.11952;115.15376;590.431
125.109;115.141556;590.42737
125.10357;115.13466;590.4224
125.0895;115.11824;590.4179
125.07963;115.10608;590.41187
125.08296;115.10324;590.4107
125.07532;115.09358;590.4091
125.067375;115.08992;590.40625
125.060486;115.09411;590.40137
125.05527;115.096085;590.3978
125.04272;115.0829;590.3964
125.0317;115.06929;590.3979
125.02722;115.0608;590.399
125.03156;115.067474;590.39575
125.03862;115.07754;590.3839
125.04444;115.089035;590.3838
125.0513;115.10021;590.38153
125.0447;115.091484;590.37604
125.033424;115.07539;590.37164
125.02364;115.06497;590.37524
125.02656;115.0654;590.3842
125.024;115.06247;590.3971
125.0278;115.06588;590.3966
125.028755;115.07158;590.3752
125.03504;115.07795;590.3615
125.040886;115.08665;590.36615
125.03063;115.07657;590.36835
125.022644;115.0658;590.3552
125.014656;115.06;590.35535
125.022385;115.06781;590.34357
125.02573;115.073296;590.3372
125.02169;115.07665;590.33704
125.018;115.082664;590.33484
125.01607;115.08188;590.32794
125.01149;115.07606;590.32434
125.00665;115.067215;590.32153
125.00429;115.05911;590.319
124.99947;115.04924;590.3176
124.99771;115.04852;590.31506
124.990845;115.04426;590.3097
124.9849;115.03975;590.3076
124.9839;115.039375;590.3065
124.97266;115.025826;590.30347
124.96123;115.01393;590.3005
124.95448;115.00804;590.29767
124.94547;114.997025;590.29535
124.94008;114.99431;590.29474
124.93553;115.002556;590.2928
124.9229;115.00358;590.2937
124.91531;114.992424;590.28986
124.905205;114.97121;590.2913
124.88189;114.94023;590.2833
124.864555;114.921715;590.27844
124.860596;114.91882;590.2755
124.88005;114.92589;590.2738
124.9113;114.93592;590.2709
124.94873;114.95862;590.26965
125.001;115.01216;590.26764
125.05576;115.09329;590.26385
125.10788;115.209076;590.2604
125.15149;115.373604;590.25995
125.17909;115.543884;590.2593
125.205185;115.73079;590.2612
125.25186;115.92075;590.2562
125.29396;116.10214;590.25336
125.309395;116.26174;590.25305
125.337074;116.42868;590.25055
125.34771;116.55328;590.2482
125.28622;116.63303;590.252
125.210686;116.67685;590.25183
125.16705;116.68908;590.2445
125.13344;116.65074;590.2445
125.10979;116.472595;590.2408
125.081055;116.15502;590.2385
125.037094;115.833305;590.23267
125.00009;115.53227;590.23114
124.96259;115.2687;590.23456
124.90685;115.08924;590.23206
124.87964;115.01509;590.2276
124.8831;115.02952;590.2301
124.90389;115.056915;590.23517
124.929115;115.04387;590.2272
124.97237;115.04807;590.2293
125.027885;115.07325;590.2084
125.056145;115.08016;590.2063
125.058525;115.07873;590.2054
125.0572;115.097824;590.20074
125.05376;115.115395;590.1988
125.05858;115.13941;590.19727
125.051575;115.14642;590.19434
125.047134;115.159744;590.1932
125.04389;115.170784;590.1932
125.028465;115.173004;590.19257
125.015686;115.17105;590.1897
125.02067;115.17784;590.1915
125.02632;115.18258;590.20215
125.02613;115.17744;590.1952
125.01724;115.169044;590.1819
125.026695;115.17474;590.1787
125.03607;115.18566;590.1777
125.038124;115.18501;590.1692
125.03104;115.17076;590.16876
125.02541;115.16172;590.16547
125.0169;115.15429;590.16406
125.02508;115.1648;590.16595
125.02908;115.17209;590.16675
125.03216;115.17858;590.16736
125.03166;115.18197;590.15796
125.02982;115.18399;590.16144
125.02479;115.17444;590.1561
125.03354;115.17837;590.14343
125.04168;115.17948;590.1469
125.040695;115.17763;590.1485
125.0442;115.183136;590.1471
125.04653;115.19315;590.1439
125.043076;115.19539;590.138
125.03652;115.19312;590.1304
125.040504;115.1955;590.1278
125.031395;115.18631;590.11835
125.024124;115.174286;590.1162
125.03007;115.17863;590.11115
125.04406;115.194725;590.1077
125.04895;115.20295;590.107
125.056244;115.21272;590.1074
125.057144;115.21545;590.0962
125.05462;115.21516;590.09155
125.047516;115.209694;590.09326
125.055336;115.21458;590.0896
125.064156;115.21806;590.0867
125.06981;115.22631;590.08765
125.07923;115.24147;590.0784
125.08814;115.25297;590.0786
125.09119;115.25923;590.06683
125.08759;115.26446;590.07
125.081566;115.2601;590.0634
125.07796;115.25011;590.05554
125.06654;115.23897;590.0525
125.063774;115.238235;590.0452
125.06726;115.2411;590.0404
125.070854;115.248825;590.041
125.07923;115.265175;590.0526
125.08993;115.279175;590.03705
125.093124;115.28377;590.0241
125.08726;115.27679;590.0212
125.07954;115.26575;590.01697
125.08046;115.26668;590.01404
125.083374;115.27469;590.01
125.07882;115.28191;590.0066
125.07937;115.28878;590.0078
125.085205;115.29707;590.0025
125.08545;115.300865;589.99365
125.08666;115.29762;589.99194
125.07894;115.29426;589.996
125.08535;115.29796;589.9928
125.09107;115.29891;589.98566
125.09224;115.305466;589.9799
125.107;115.322464;589.9724
125.1137;115.33193;589.96533
125.11608;115.332054;589.9643
125.11587;115.33224;589.96704
125.11765;115.3389;589.96875
125.11799;115.340324;589.9787
125.12092;115.34719;589.9824
125.12269;115.35387;589.96344
125.13725;115.37054;589.9645
125.15048;115.38748;589.9464
125.156685;115.39648;589.9447
125.15854;115.398735;589.9343
125.158714;115.3907;589.9272
125.16856;115.39397;589.9269
125.17063;115.39852;589.9267
125.17152;115.4055;589.9312
125.17579;115.415924;589.9271
125.180885;115.42272;589.92883
125.18575;115.42943;589.9295
125.18632;115.429276;589.9035
125.19066;115.430466;589.9031
125.18983;115.43166;589.9012
125.18802;115.42947;589.90247
125.19164;115.436615;589.9012
125.206825;115.45572;589.90204
125.2114;115.47074;589.9029
125.21651;115.482254;589.90784
125.22087;115.49515;589.9096
125.2272;115.49443;589.91364
125.23434;115.49491;589.9203
125.247856;115.5055;589.92816
125.26061;115.52236;589.9334
125.25909;115.53053;589.94434
125.26379;115.5384;589.959
125.27933;115.555565;589.9718
125.29122;115.568565;589.98376
125.284836;115.568275;589.9975
125.2881;115.5765;590.0267
125.29392;115.58149;590.0242
125.292206;115.577484;590.0282
125.296326;115.58463;590.0477
125.30963;115.61071;590.0687
125.31037;115.61935;590.08246
125.31302;115.629715;590.1093
125.3169;115.63673;590.11707
125.31888;115.63997;590.1331
125.32542;115.64276;590.1507
125.32727;115.63985;590.1713
125.323746;115.64111;590.1927
125.337234;115.65763;590.2115
125.34263;115.66989;590.23285
125.34587;115.675446;590.2527
125.347755;115.6775;590.2747
125.34808;115.678665;590.2941
125.34582;115.67709;590.3143
125.33924;115.67246;590.3345
125.33585;115.67335;590.35474
125.33722;115.68205;590.3754
125.33736;115.68765;590.3955
125.33533;115.68796;590.4151
125.32468;115.678215;590.43317
125.31201;115.66471;590.45135
125.28955;115.64182;590.469
125.27332;115.619606;590.48596
125.26889;115.6042;590.50183
125.25877;115.59259;590.51874
125.24776;115.58089;590.5346
125.230865;115.56284;590.55066
125.225044;115.56119;590.56396
125.2238;115.55378;590.579
125.21298;115.53149;590.5936
125.19905;115.50347;590.6051
125.18892;115.4837;590.6172
125.186516;115.4756;590.6271
125.189445;115.474556;590.6348
125.18279;115.462326;590.6446
125.17247;115.445465;590.65717
125.165985;115.428375;590.66534
125.15745;115.40875;590.6713
125.14507;115.38722;590.6784
125.128624;115.364716;590.685
125.12298;115.347855;590.69196
125.121666;115.34216;590.6964
125.11496;115.32979;590.70245
125.10571;115.31293;590.70544
125.10347;115.30415;590.7092
125.0966;115.28656;590.7122
125.08766;115.26179;590.7159
125.0793;115.24183;590.71686
125.08001;115.242714;590.71796
125.078125;115.24307;590.7198
125.065895;115.22736;590.72217
125.064156;115.221016;590.721
125.06924;115.22076;590.7211
125.064606;115.21499;590.7213
125.05326;115.19704;590.7211
125.03795;115.17982;590.7191
125.031586;115.16637;590.7206
125.03032;115.16053;590.7192
125.02639;115.15958;590.71814
125.02741;115.15502;590.7173
125.03056;115.15629;590.7158
125.03643;115.1601;590.7134
125.02961;115.15372;590.7134
125.02637;115.14704;590.7165
125.01881;115.13323;590.7209
125.023575;115.13936;590.7163
125.03688;115.15198;590.7122
125.03831;115.15372;590.71484
125.038666;115.153786;590.7128
125.037766;115.15543;590.6994
125.031204;115.147514;590.69336
125.02222;115.13512;590.69385
125.01311;115.1231;590.6906
125.01855;115.126366;590.6831
125.0401;115.14482;590.68054
125.03974;115.146965;590.6791
125.041435;115.15319;590.67816
125.04349;115.15491;590.6824
125.04577;115.15686;590.68396
125.040794;115.14675;590.6854
125.0283;115.13445;590.6721
125.0247;115.12713;590.6633
125.02916;115.1298;590.66345
125.028824;115.135254;590.65735
125.03445;115.1412;590.65076
125.026436;115.1406;590.64825
125.03032;115.14518;590.64655
125.03075;115.13958;590.643
125.02586;115.13316;590.6396
125.025604;115.12975;590.63806
125.03567;115.135666;590.6349
125.0441;115.1529;590.63495
125.04425;115.15362;590.63245
125.04534;115.15431;590.62756
125.0472;115.16156;590.62494
125.04837;115.163895;590.62195
125.0473;115.15741;590.6168
125.05145;115.157005;590.61255
125.04947;115.15438;590.61053
125.051544;115.15814;590.6063
125.05779;115.16422;590.6034
125.06447;115.17362;590.60095
125.062675;115.17715;590.59656
125.07283;115.18585;590.59143
125.07188;115.17918;590.5874
125.065796;115.17185;590.58417
125.06651;115.169754;590.57947
125.067085;115.17188;590.5771
125.07128;115.18168;590.5728
125.08199;115.19208;590.5656
125.088684;115.19861;590.5602
125.09241;115.198296;590.55756
125.08249;115.18382;590.555
125.08802;115.186516;590.55005
125.09631;115.189644;590.55096
125.09648;115.18767;590.5527
125.0975;115.189835;590.5409
125.10476;115.194534;590.5451
125.10643;115.19377;590.539
125.10774;115.19244;590.5271
125.102875;115.186356;590.5242
125.09148;115.17296;590.52026
125.081055;115.16103;590.5198
125.07581;115.15276;590.5232
125.07746;115.15698;590.5221
125.07967;115.16594;590.5206
125.07615;115.16836;590.5208
125.073166;115.168495;590.5151
125.07506;115.16923;590.51373
125.066376;115.15961;590.51025
125.06099;115.148964;590.50854
125.069016;115.142555;590.50586
125.0668;115.13762;590.5037
125.069595;115.14315;590.505
125.06985;115.14518;590.5063
125.071785;115.14885;590.50946
125.06816;115.1458;590.5041
125.06484;115.14012;590.5046
125.07315;115.144005;590.5202
125.075745;115.14413;590.53046
125.0827;115.14792;590.52875
125.08344;115.1499;590.5286
125.08581;115.15581;590.516
125.0826;115.15695;590.52045
125.0777;115.15648;590.5191
125.06787;115.14375;590.51984
125.07138;115.13798;590.5226
125.08046;115.14315;590.52673
125.07513;115.14175;590.5369
125.08122;115.14997;590.54425
125.08841;115.15901;590.55707
125.092735;115.16306;590.5607
125.09667;115.16029;590.5436
125.10245;115.15688;590.55396
125.100655;115.149254;590.5614
125.10462;115.15472;590.56537
125.10478;115.15181;590.5641
125.09963;115.14916;590.5756
125.102516;115.15524;590.5827
125.10476;115.16005;590.5743
125.10917;115.16521;590.5863
125.10502;115.158264;590.5937
125.09839;115.15205;590.5926
125.090355;115.13991;590.5922
125.09301;115.13166;590.59534
125.09131;115.12973;590.5908
125.08928;115.13304;590.5973
125.09887;115.14193;590.5967
125.10321;115.145134;590.6037
125.11;115.15202;590.6044
125.106445;115.149185;590.60486
125.100876;115.14268;590.6058
125.09851;115.13507;590.60785
125.1023;115.13683;590.6129
125.10237;115.140175;590.61755
125.10397;115.14823;590.61804
125.106;115.153015;590.61993
125.11654;115.158195;590.6205
125.11084;115.150085;590.6203
125.10418;115.14544;590.62177
125.10898;115.14353;590.62665
125.10423;115.13991;590.6273
125.111694;115.14883;590.6253
125.11186;115.15865;590.6249
125.113174;115.16431;590.62537
125.12698;115.17575;590.6227
125.12872;115.17803;590.6209
125.12357;115.16826;590.6214
125.11799;115.153595;590.62195
125.11222;115.14482;590.6212
125.10955;115.14334;590.619
125.11501;115.15188;590.6207
125.111336;115.15173;590.6186
125.10919;115.14828;590.61444
125.113365;115.143105;590.61505
125.11008;115.13383;590.6155
125.1049;115.12815;590.6138
125.11098;115.1283;590.6106
125.10418;115.12396;590.61145
125.08996;115.11943;590.61615
125.0824;115.11795;590.6021
125.08504;115.1226;590.5961
125.08969;115.12815;590.593
125.10101;115.14149;590.5926
125.096436;115.13379;590.59125
125.09119;115.12551;590.5889
125.09026;115.11867;590.5851
125.0844;115.11604;590.58093
125.088974;115.12312;590.57574
125.09112;115.12505;590.57306
125.09715;115.12827;590.5692
125.09631;115.1219;590.5642
125.08349;115.10448;590.55865
125.089874;115.10276;590.5536
125.08931;115.09917;590.55493
125.08197;115.09773;590.55164
125.08295;115.10533;590.5481
125.085396;115.10942;590.54407
125.08885;115.114;590.53705
125.09091;115.11235;590.53394
125.074265;115.09292;590.53204
125.06826;115.089645;590.5306
125.07753;115.097855;590.52484
125.080795;115.10102;590.52045
125.08104;115.10455;590.52356
125.08849;115.113304;590.5133
125.10135;115.12129;590.5108
125.11305;115.13343;590.51337
125.11479;115.13404;590.5009
125.11833;115.13447;590.4978
125.11341;115.132324;590.48975
125.11269;115.14027;590.4855
125.11883;115.15337;590.4838
125.12111;115.16485;590.4769
125.12095;115.17386;590.4713
125.12314;115.183975;590.4691
125.11269;115.17851;590.4682
125.10516;115.16666;590.4705
125.09994;115.15007;590.4595
125.095795;115.139694;590.4518
125.09708;115.13541;590.44946
125.09611;115.12684;590.4451
125.089264;115.11285;590.4383
125.10404;115.11647;590.4323
125.11022;115.11821;590.4301
125.11249;115.11282;590.4264
125.099754;115.10434;590.42346
125.101204;115.10214;590.41986
125.100464;115.09525;590.4173
125.0951;115.0913;590.41583
125.09956;115.100685;590.41406
125.09778;115.104836;590.4078
125.10081;115.10691;590.4027
125.09489;115.09788;590.41
125.08296;115.08302;590.40344
125.07486;115.07134;590.3966
125.07388;115.0654;590.3919
125.07836;115.06724;590.3992
125.07662;115.074486;590.3973
125.07128;115.08102;590.3866
125.079865;115.09292;590.37714
125.085396;115.10104;590.36664
125.089806;115.097565;590.3634
125.08364;115.09063;590.35913
125.0793;115.086006;590.3561
125.080696;115.090294;590.3579
125.08707;115.10699;590.35626
125.08563;115.11111;590.3494
125.086945;115.11166;590.34906
125.082726;115.11015;590.3408
125.07741;115.10358;590.3369
125.070885;115.09311;590.3433
125.06518;115.08173;590.3451
125.071976;115.08536;590.3432
125.070854;115.08944;590.35205
125.06935;115.09313;590.3454
125.07994;115.10109;590.3211
125.08118;115.10967;590.3123
125.07402;115.09971;590.3113
125.063156;115.08772;590.30914
125.05903;115.08297;590.30286
125.061554;115.08095;590.2979
125.06053;115.0804;590.297
125.06144;115.091606;590.29584
125.061745;115.096375;590.2924
125.05832;115.09311;590.28754
125.04849;115.08095;590.284
125.03366;115.06294;590.28076
125.03204;115.059944;590.2776
125.03221;115.05291;590.2745
125.03228;115.05436;590.2735
125.02613;115.05537;590.2725
125.01683;115.05174;590.27155
125.015335;115.048355;590.26685
125.021736;115.05067;590.26654
125.01714;115.04166;590.2698
125.009514;115.02866;590.258
124.99354;115.01979;590.2562
124.97809;115.00911;590.2533
124.97405;115.00012;590.258
124.97413;114.99245;590.2524
124.97191;114.98844;590.2462
124.97172;114.988556;590.243
124.989075;114.98823;590.24426
125.00708;114.9851;590.25507
125.03771;114.99864;590.2624
125.078674;115.04714;590.2544
125.12843;115.12677;590.2411
125.179504;115.22577;590.22925
125.22554;115.37609;590.2306
125.25973;115.55943;590.22076
125.26998;115.72449;590.2173
125.278465;115.893524;590.2134
125.31993;116.08712;590.21295
125.33998;116.258644;590.2129
125.357414;116.41309;590.2121
125.3848;116.5704;590.21063
125.38061;116.68601;590.2088
125.31414;116.75117;590.2067
125.2582;116.77632;590.2014
125.22833;116.777176;590.2011
125.208015;116.715256;590.203
125.19674;116.504;590.2022
125.17383;116.18308;590.2087
125.13816;115.89398;590.21405
125.10585;115.61367;590.2052
125.05197;115.3618;590.1962
125.00469;115.182014;590.1889
124.98032;115.09798;590.1854
124.97398;115.09198;590.17944
124.972435;115.079926;590.1786
124.99423;115.06174;590.17755
125.03361;115.0598;590.17566
125.076126;115.08333;590.1748
125.10054;115.09745;590.1802
125.11527;115.116165;590.1819
125.11873;115.14157;590.1713
125.10784;115.149254;590.16925
125.08933;115.144585;590.1675
125.08877;115.15169;590.1714
125.07394;115.15107;590.1726
125.057434;115.15889;590.1735
125.041885;115.15898;590.1585
125.03061;115.15958;590.1527
125.0317;115.16768;590.15125
125.023674;115.16106;590.14795
125.01804;115.151634;590.1465
125.01232;115.13936;590.1434
125.01378;115.13178;590.1417
125.020355;115.13748;590.1416
125.02244;115.138504;590.13983
125.025345;115.14446;590.13654
125.02288;115.144035;590.13544
125.0168;115.136665;590.13226
125.011246;115.12787;590.12885
125.007385;115.118904;590.1278
125.01213;115.12207;590.12695
125.018974;115.127914;590.1267
125.02191;115.134285;590.126
125.032585;115.153015;590.1263
125.039215;115.16051;590.11804
125.04165;115.16847;590.1164
125.048065;115.172005;590.1185
125.04504;115.16945;590.1151
125.04599;115.17332;590.1093
125.05547;115.18144;590.1168
125.06385;115.192116;590.1134
125.06733;115.19632;590.0963
125.06985;115.19698;590.09424
125.07756;115.208954;590.0949
125.083725;115.21337;590.09644
125.091354;115.21563;590.09973
125.09515;115.21928;590.0897
125.084595;115.214226;590.096
125.09171;115.22135;590.1143
125.099014;115.22991;590.0881
125.102974;115.238045;590.08014
125.107;115.24414;590.0767
125.10671;115.2446;590.06824
125.10578;115.2399;590.0647
125.10983;115.24038;590.074
125.10707;115.24004;590.0703
125.11191;115.2467;590.0538
125.112335;115.25213;590.052
125.114006;115.26119;590.0477
125.118965;115.26844;590.0418
125.11794;115.26965;590.02954
125.1059;115.26027;590.0282
125.10483;115.25583;590.02435
125.100586;115.25068;590.0195
125.09637;115.252655;590.01404
125.10025;115.257164;590.01166
125.10125;115.25419;590.00757
125.11113;115.26653;590.0028
125.10912;115.27261;589.99945
125.11332;115.277145;589.99713
125.1111;115.27023;589.9937
125.10237;115.25979;589.98987
125.102516;115.257904;589.9869
125.10686;115.26679;589.98505
125.098015;115.2678;589.9855
125.097435;115.271355;589.9827
125.111626;115.288826;589.97504
125.1137;115.28925;589.96924
125.102615;115.279526;589.9658
125.102875;115.27554;589.9656
125.10135;115.269684;589.9585
125.10142;115.27369;589.95825
125.10335;115.284195;589.9491
125.11203;115.298294;589.9451
125.11527;115.30368;589.943
125.11668;115.30332;589.94305
125.11623;115.304276;589.9411
125.11191;115.303085;589.9415
125.1136;115.30201;589.9331
125.11196;115.30373;589.928
125.11692;115.313286;589.92737
125.12021;115.32132;589.9388
125.13077;115.33665;589.9235
125.13731;115.35095;589.90784
125.141975;115.351074;589.9085
125.1477;115.34862;589.9112
125.14304;115.345856;589.907
