CH1;CH2;PPG
124.70467;112.80779;590.037
124.6623;112.77859;590.04065
124.598305;112.753075;590.0425
124.5573;112.72874;590.0444
124.54871;112.704865;590.04517
124.57373;112.684105;590.04193
124.57676;112.65964;590.03827
124.56505;112.6316;590.0364
124.55356;112.60979;590.03705
124.54557;112.59541;590.03503
124.52816;112.568115;590.038
124.527405;112.53447;590.0379
124.54853;112.50875;590.03534
124.532776;112.49096;590.0334
124.45628;112.47305;590.03253
124.32086;112.46893;590.0302
124.31621;112.465836;590.0308
124.37863;112.44766;590.03
124.42386;112.41573;590.0284
124.467705;112.389626;590.02606
124.48882;112.37239;590.0258
124.54121;112.358925;590.0284
124.510315;112.35521;590.0275
124.386215;112.35046;590.02734
124.26409;112.34412;590.02344
124.19646;112.330956;590.0205
124.30505;112.308495;590.0211
124.44591;112.277054;590.0218
124.41954;112.26415;590.0231
124.35696;112.261696;590.02155
124.33943;112.25044;590.02515
124.337425;112.23821;590.02924
124.342636;112.23304;590.0271
124.33712;112.22091;590.0286
124.30131;112.20383;590.0288
124.26381;112.18297;590.0271
124.2523;112.1644;590.0275
124.24319;112.14971;590.03046
124.243355;112.150375;590.0333
124.27818;112.14962;590.0315
124.31028;112.145584;590.0328
124.27759;112.14613;590.03656
124.18818;112.149994;590.03766
124.094986;112.14435;590.0375
124.09451;112.14742;590.04
124.17533;112.142555;590.04224
124.21937;112.13674;590.04706
124.22359;112.13455;590.04834
124.23441;112.13455;590.05035
124.24929;112.13707;590.05396
124.23443;112.144516;590.05853
124.239586;112.13712;590.06195
124.271706;112.12771;590.064
124.30134;112.11388;590.06836
124.2506;112.10117;590.07684
124.12307;112.118355;590.08075
124.001305;112.14702;590.0845
123.938194;112.165565;590.08124
124.07615;112.17925;590.08374
124.280594;112.17677;590.0858
124.3355;112.15117;590.08514
124.30844;112.1175;590.0907
124.27869;112.115;590.09326
124.27137;112.13252;590.09454
124.27147;112.15512;590.09656
124.275894;112.162636;590.09985
124.25635;112.160484;590.10693
124.22259;112.15827;590.09985
124.177765;112.14843;590.08746
124.19005;112.146255;590.08936
124.24936;112.13534;590.0879
124.23097;112.1268;590.0849
124.25172;112.12937;590.089
124.269005;112.12944;590.08704
124.18082;112.132065;590.08246
124.077034;112.15216;590.0791
124.088264;112.1701;590.0786
124.22297;112.16783;590.0767
124.29523;112.15367;590.07825
124.29263;112.14445;590.0794
124.2768;112.14969;590.07715
124.26674;112.16747;590.07587
124.26522;112.17808;590.07336
124.28148;112.17069;590.07227
